Count	Words
4		from one
4		full of
4		gave a
4		get to
4		getting up
4		glad to
4		growing and
4		guinea pigs
4		had grown
4		had made
4		hand in
4		have no
4		have you
4		heard of
4		her arm
4		her feet
4		her foot
4		her in
4		her life
4		her voice
4		here the
4		herself to
4		hold of
4		house and
4		hurried off
4		idea what
4		in such
4		in time
4		inches high
4		is I
4		is such
4		is you
4		it And
4		it again
4		it at
4		it he
4		it just
4		it over
4		it she
4		it you
4		jumped up
4		jury box
4		know I
4		like said
4		long as
4		look of
4		low voice
4		made a
4		make me
4		make you
4		me see
4		might as
4		more than
4		mouth and
4		much said
4		my life
4		no idea
4		no one
4		no time
4		nothing but
4		number of
4		of any
4		of tears
4		of things
4		oh dear
4		old fellow
4		on and
4		on with
4		once in
4		one finger
4		ootiful Soo
4		opportunity for
4		opportunity of
4		or I'll
4		out a
4		over and
4		piece of
4		replied in
4		replied very
4		round and
4		said and
4		said very
4		say it
4		see how
4		see that
4		see the
4		seems to
4		shall have
4		she put
4		she sat
4		so Alice
4		so many
4		some minutes
4		sure I
4		sure to
4		that her
4		that if
4		that in
4		that there
4		that's the
4		the Lizard
4		the Rabbit's
4		the birds
4		the bottom
4		the earth
4		the fire
4		the hookah
4		the jurymen
4		the most
4		the officers
4		the party
4		the puppy
4		the sky
4		the song
4		the sort
4		the subject
4		the things
4		the use
4		the whiting
4		their faces
4		them with
4		thing I
4		thing as
4		thing to
4		think that
4		this last
4		this morning
4		though she
4		time and
4		to change
4		to day
4		to hear
4		to learn
4		to leave
4		to my
4		to play
4		to talk
4		to this
4		tone and
4		upon her
4		use of
4		ventured to
4		very little
4		voice of
4		walked off
4		was as
4		was gone
4		was nothing
4		was only
4		was said
4		was to
4		way to
4		well say
4		went back
4		what the
4		what was
4		what would
4		when he
4		when it
4		which the
4		which way
4		while she
4		who seemed
4		with some
4		with their
4		with you
4		would go
4		yer honour
4		you are
4		you had
4		you join
4		you might
4		you never
4		you say
3		ARE you
3		Alice And
3		Alice I'm
3		Alice Well
3		Alice You
3		Alice again
3		Alice asked
3		Alice heard
3		Alice indignantly
3		Alice rather
3		Alice waited
3		And so
3		As soon
3		But what
3		By the
3		Call the
3		Cat and
3		Caterpillar Alice
3		Caterpillar and
3		Did you
3		Duchess said
3		Give your
3		Go on
3		Gryphon went
3		Hatter He
3		Hatter I
3		Hatter was
3		Hatter went
3		He looked
3		Here the
3		Hold your
3		However she
3		I THINK
3		I almost
3		I believe
3		I dare
3		I ever
3		I heard
3		I like
3		I mean
3		I say
3		I see
3		I shouldn't
3		I tell
3		I will
3		I'll tell
3		I'll try
3		I'm glad
3		I'm mad
3		I've seen
3		IS the
3		In my
3		Is that
3		It's all
3		Just then
3		King The
3		Knave of
3		Majesty he
3		Majesty the
3		Mouse was
3		No no
3		Now I
3		Pigeon but
3		Queen had
3		Queen in
3		Queen of
3		So you
3		Thank you
3		That's very
3		The Knave
3		The jury
3		The poor
3		There's no
3		This time
3		This was
3		Turtle in
3		Turtle replied
3		Turtle went
3		Twinkle twinkle
3		Well perhaps
3		What IS
3		What are
3		What for
3		While the
3		Why said
3		William the
3		Would you
3		Yes said
3		Yet you
3		You might
3		You ought
3		a VERY
3		a book
3		a conversation
3		a grin
3		a pair
3		a piece
3		a pig
3		a pity
3		a poor
3		a queer
3		a sigh
3		a table
3		a trembling
3		a well
3		about a
3		about this
3		afraid I
3		afraid of
3		after her
3		after that
3		again You
3		again for
3		again so
3		against the
3		all crowded
3		all my
3		all sorts
3		along the
3		an M
3		and I'm
3		and behind
3		and both
3		and don't
3		and down
3		and get
3		and gloves
3		and her
3		and made
3		and make
3		and making
3		and more
3		and no
3		and oh
3		and perhaps
3		and put
3		and ran
3		and round
3		and saying
3		and seemed
3		and some
3		and sometimes
3		and their
3		and tried
3		and waited
3		and walked
3		and what
3		and yet
3		any one
3		argument was
3		as an
3		as far
3		as follows
3		as hard
3		as long
3		as soon
3		as this
3		as usual
3		at one
3		baby the
3		back in
3		back the
3		be beheaded
3		be in
3		be like
3		been to
3		began again
3		begins with
3		begun to
3		behind it
3		bit of
3		breath and
3		broken glass
3		but I'm
3		but alas
3		but at
3		but he
3		but on
3		but to
3		by his
3		came a
3		can find
3		can't help
3		can't remember
3		cats eat
3		certainly said
3		chance of
3		close behind
3		could The
3		could be
3		could hear
3		course the
3		course you
3		court and
3		crowded round
3		dare say
3		dead silence
3		decidedly and
3		did it
3		do Alice
3		do next
3		do so
3		don't be
3		don't believe
3		don't see
3		don't want
3		done with
3		door she
3		down his
3		down in
3		down with
3		e e
3		e evening
3		eat bats
3		eat or
3		else to
3		evening Beautiful
3		ever saw
3		everything that
3		exclaimed Alice
3		eyes were
3		face and
3		fallen into
3		fast asleep
3		feel very
3		feeling very
3		felt quite
3		felt very
3		find a
3		first she
3		fond of
3		for I
3		for fear
3		for this
3		forgotten the
3		found that
3		four times
3		garden and
3		get into
3		getting so
3		glass table
3		go back
3		go down
3		go round
3		good opportunity
3		got into
3		great curiosity
3		great deal
3		grow up
3		had come
3		had finished
3		had happened
3		had the
3		half hoping
3		half of
3		half to
3		happen next
3		hard as
3		have done
3		have got
3		he added
3		head impatiently
3		head to
3		heard it
3		help it
3		her about
3		her as
3		her chin
3		her flamingo
3		her knowledge
3		her neck
3		her very
3		her way
3		here and
3		herself up
3		high and
3		him Tortoise
3		him the
3		his nose
3		his voice
3		hookah out
3		however she
3		hurry to
3		impatiently and
3		in livery
3		in one
3		in sight
3		in silence
3		in this
3		in which
3		into Alice's
3		into it
3		into that
3		is a
3		is of
3		it She
3		it The
3		it all
3		it away
3		it makes
3		it means
3		it off
3		it very
3		it went
3		it's very
3		its arms
3		its face
3		its feet
3		jury all
3		just begun
3		just in
3		just now
3		knew that
3		knew the
3		know that
3		last and
3		last remark
3		leave off
3		like cats
3		listen to
3		little Alice
3		little girl
3		little girls
3		little house
3		little of
3		little pattering
3		little timidly
3		little way
3		look up
3		looked anxiously
3		looking anxiously
3		lying on
3		made of
3		makes them
3		marked poison
3		may be
3		me for
3		me grow
3		me like
3		me said
3		me to
3		mean what
3		middle of
3		might just
3		moment to
3		more to
3		much as
3		much of
3		mushroom and
3		must go
3		my tea
3		my youth
3		never heard
3		no doubt
3		no more
3		no sort
3		none of
3		not at
3		not gone
3		not join
3		not much
3		not quite
3		not remember
3		not would
3		nothing else
3		nothing of
3		nothing to
3		notice of
3		noticed that
3		now thought
3		obliged to
3		of WHAT
3		of all
3		of anything
3		of being
3		of cards
3		of me
3		of meaning
3		of one
3		off a
3		off at
3		off her
3		off to
3		officers of
3		old said
3		on What
3		on again
3		on then
3		on to
3		on you
3		once more
3		once or
3		one but
3		one eye
3		one foot
3		one hand
3		one side
3		one way
3		only a
3		only one
3		only wish
3		oop of
3		or a
3		or drink
3		or not
3		or so
3		or three
3		or twice
3		out at
3		out what
3		over their
3		over to
3		over with
3		pack of
3		pattering of
3		pointing to
3		poor man
3		put down
3		put the
3		puzzled her
3		question is
3		quite forgetting
3		rabbit hole
3		ran off
3		rather a
3		reason is
3		repeat it
3		replied rather
3		right said
3		room for
3		rose tree
3		round it
3		said Five
3		said I
3		said a
3		said turning
3		said with
3		say to
3		screamed the
3		see as
3		see you
3		seemed quite
3		seen a
3		seen them
3		settled down
3		shall be
3		she gave
3		she is
3		she kept
3		she noticed
3		she saw
3		she should
3		she soon
3		she stood
3		she swam
3		she turned
3		she very
3		she waited
3		shook his
3		should be
3		shriek and
3		side and
3		sides of
3		silent and
3		slates and
3		sleepy and
3		so and
3		so far
3		so long
3		so often
3		some more
3		soon found
3		sorts of
3		spoke and
3		stick and
3		still it
3		stood near
3		succeeded in
3		such as
3		surprised to
3		take the
3		talking to
3		than a
3		that Dormouse
3		that day
3		that's all
3		the Cheshire
3		the Duchess's
